Tieback,Comment,CategoryCode,Category,SubCategoryCode,SubCategory,Coded CategoryCode,Category_1,Coded SubCategoryCode,SubCategory_1,ConditionCode,Condition Description,FinalCode,Hot Alert
57459965,Very frustrating that Toyota doesn’t come standard with a RES.  Had to get an after market and hate it. I even went to the place that my dealership recommended and who they do business with. This is my first Toyota and that is my biggest turn off.,41,Engine,19,Remote engine start (RES),41,Engine,19,Remote engine start (RES),WC,"Would like to have, change, add feature, make standard",054119WC,True
57622160,Car was 38 mpg originally. I reset the trip and now it is reading 46 mpg on average. Have just over 200 miles so we have not even used a 2nd tank of gas. The dealership said to let them know when we come in for the first maintenance check in March,41,Engine,15,Poor fuel consumption,41,Engine,15,Poor fuel consumption,CJ,Consumption,054115CJ,True
57681489,"The side edge of the driver’s seat by the door is sharp pressing up against my thigh. I push it down to flatten it out some and that helps a little, but have never had a problem like that of fitting into a seat (and my other car is a Porsche 911).",26,Seats,10,Seat comfort,26,Seats,10,Seat comfort,CI,"Comfort, fit",052610CI,False
57685257,"In crewmax models, the rear window should have auto up and auto down along side manual stoping adjustment features like the drivers side window due to the location of the switch. It is not safe to lean forward to operate the switch while driving.",14,Interior Operation & Controls,21,Window controls,14,Interior Operation & Controls,21,Window controls,WC,"Would like to have, change, add feature, make standard",051421WC,True
57590162,"There are none - a stupid choice by Lexus on such a premium car.  I wanted to get the upgraded lighting and couldn't locate a car with this option package, which was almost $2K more (Acura has a similar system with fog lights standard on the MDX)",19,Exterior Body,19,Fog lights,19,Exterior Body,19,Fog lights,WC,"Would like to have, change, add feature, make standard",051919WC,True
57658715,"It's good that the steering wheel is somewhat soft but it's made of very dry material that's too dry for my hands so I have to condition it. The salesman told me it was made from soybeans, but I don't think that's true as it feels very synthetic.",13,Interior Fit and Appearance,7,Steering wheel (fit/appearance),13,Interior Fit and Appearance,7,Steering wheel (fit/appearance),CI,"Comfort, fit",051307CI,True
57369991,"S-E It only offers a single possibility as far as reclining the back is concerned, so it's not as comfortable as expected. {{{ Solo ofrece una sola posibilidad en cuanto a la inclinacion del espaldar por lo que no resulta lo comodo que se espera.",26,Seats,1,Folding rear seat,26,Seats,1,Folding rear seat,CI,"Comfort, fit",052601CI,False
57369991,"S-E It only offers a single possibility as far as reclining the back is concerned, so it's not as comfortable as expected. {{{ Solo ofrece una sola posibilidad en cuanto a la inclinacion del espaldar por lo que no resulta lo comodo que se espera.",26,Seats,1,Folding rear seat,26,Seats,15,Recliner controls,WC,"Would like to have, change, add feature, make standard",052615WC,False
57588393,Door panel have been producing some buzzing/ticking or vibrating sounds. Dealer just have insulated it with sound deadening material  by opening door panel. That reduced the sound. However over bumpy roads I still can hear some vibration from it.,13,Interior Fit and Appearance,3,Door panel,13,Interior Fit and Appearance,3,Door panel,NA,Noise,051303NA,False
57685257,It should have an option to change between 10-20 min increments for running time. And it should not shut off automatically when the truck is unlocked. It should only shut off if the key is not in the vehicle and the push button start is pressed.,41,Engine,19,Remote engine start (RES),41,Engine,19,Remote engine start (RES),PA,Performance,054119PA,True
57688673,There is a lot of wind noise when. Sunroom is open compared to my 2009 highlander. There is a Windshield type thing creating the noise.  I foresee this as being an issue eventually in the summer because I use my sunroof frequently.  Disappointed,19,Exterior Body,13,Sunroof/Moonroof (including shade),19,Exterior Body,13,Sunroof/Moonroof (including shade),ND,Noise-wind noise,051913ND,True
57590110,"It is awkward to access.  It is good size but the lid opens up and hinges on the back seat side.  It really should be split in half, each half independently accessible, and hinged on each side.  That would be much more convenient and accessible.",13,Interior Fit and Appearance,11,Center console,13,Interior Fit and Appearance,11,Center console,LE,Location,051311LE,False
57694504,"I've noticed that the daytime running light's has shut off immediately after I turn off the ignition. Usually the headlights will stay on for approximately 30 seconds. Ive noticed it twice now, it has turned off as soon as the car is turned off.",19,Exterior Body,37,Daytime Running Lights (DRL),19,Exterior Body,37,Daytime Running Lights (DRL),PA,Performance,051937PA,False
57668423,Material seems to hold moisture in moderate to heavy humidity - causes windows to easily fog up and hard to defog quickly / Material also seems to smudge easily and crumbs/other materials easily stick to the seats and cannot be wiped off easily,26,Seats,2,Seat material,26,Seats,2,Seat material,FB,"Features, options",052602FB,True
57668209,"The seat material on the “leather trimmed” seats seems to distort quite easily. Also, the overall craftsmanship of the upholstery is inconsistent and with defects. I gave it a 4/5 for seriousness due to the msrp being in the just under $50,000.",26,Seats,2,Seat material,26,Seats,2,Seat material,QA,"Quality (cheap looking, cheaply made",052602QA,True
57698817,"During the winter the sensors must have been covered so the lane assist turned off.  However, the Notification kept popping up even when I Pressed the Back button on the steering wheel.  The notification continuously popping up was distracting.",14,Interior Operation & Controls,30,Lane keep assist/Lane departure warning,14,Interior Operation & Controls,30,Lane keep assist/Lane departure warning,PA,Performance,051430PA,False
57650522,"One time, on the highway at about 50 miles per hour when the car was warm and had been driving for around 15 minutes, I pushed the accelerator fairly hard and the car did not downshift or accelerate much at all. This is not it's usual behavior.",43,Transmssion,5,Delayed/slow shift,43,Transmssion,5,Delayed/slow shift,SQ,"Shifting Delayed, slow start (engagement)",054305SQ,False
57609323,"Cannot update my Toyota's software. Cannot use Remote Start from Toyota mobile app for Android. Remote Start has not worked since 12/17/2019. Remote Connect is useless. I cannot see milage information, service information, remote start my car.",29,"Audio, Communication, Navigation System",59,Over-the-air updates,41,Engine,19,Remote engine start (RES),IC,Inoperative,054119IC,True
57680191,"can naot figure it out and the instruction manual is so small and poorly written, I have to waste my time to go back to the dealer and even thought the tech rep is very good and very professional, I should be able to figure it out and can not.",29,"Audio, Communication, Navigation System",47,Remote engine start/stop from app,29,"Audio, Communication, Navigation System",47,Remote engine start/stop from app,DU,Difficult to understand,052947DU,True
57680191,"can naot figure it out and the instruction manual is so small and poorly written, I have to waste my time to go back to the dealer and even thought the tech rep is very good and very professional, I should be able to figure it out and can not.",29,"Audio, Communication, Navigation System",47,Remote engine start/stop from app,0,Vehicle General,98,Owner's Manual,DU,Difficult to understand,050098DU,True
57609323,"Cannot update my Toyota's software. Cannot use Remote Start from Toyota mobile app for Android. Remote Start has not worked since 12/17/2019. Remote Connect is useless. I cannot see milage information, service information, remote start my car.",29,"Audio, Communication, Navigation System",59,Over-the-air updates,29,"Audio, Communication, Navigation System",59,Over-the-air updates,FB,"Features, options",052959FB,True
57652476,There is a winding up and down whiny noise with acceleration and deceleration which our 2006 did not have.  It was alarming at the start and now mostly annoying.One reason for wanting the hybrid was for quiet when only the battery is powering.,41,Engine,6,"Engine noise(excessive, abnormal)",41,Engine,6,"Engine noise(excessive, abnormal)",NA,Noise,054106NA,False
57502172,"We were astonished that our car did not have fog lights.  Our leased car had them, so we assumed this would be standard in all the RX350  models.  Never occurred to us to ask if the car we purchased had them.  Really this should be standard!!!",19,Exterior Body,19,Fog lights,19,Exterior Body,19,Fog lights,WC,"Would like to have, change, add feature, make standard",051919WC,False
57669795,Your manual needs major changes for clarity . In fact you can tell people are having  problems because you now have a  a manual to read and understand the manual! Also in the glove compartment  yellow card which tells you how to start the car!,34,Handling & Steering,99,Handling & Steering problem other than listed,0,Vehicle General,98,Owner's Manual,DU,Difficult to understand,050098DU,False
57679989,"When parking on a hill it doesn't seem to hold at all. On my wife's RX once it engages, the vehicle doesn't move. On my LS, even when it engages, once I take my foot off the brakes it still moves slightly until the transmission ""Park"" engages.",36,Brakes,7,Parking brake/Electronic brake hold,36,Brakes,7,Parking brake/Electronic brake hold,PA,Performance,053607PA,False
57672223,I think It’s really dumb that the odometer can’t be adjusted. Someone has to sit up like their in a high chair to see what speed you’re going. Are raise up like a groundhog to see it. Annoying! Another reason I wosh I hadnt purchased this Car,13,Interior Fit and Appearance,2,Dashboard,45,Gauges & Lights,8,"Odometer, trip meter",WC,"Would like to have, change, add feature, make standard",054508WC,True
57709128,Remote start takes a long time to connect. Car turns off as soon as you open the door. Other vehicles with remote start remained started & allowed you to get in and push the start button to start driving (not turn off & have to be restarted).,29,"Audio, Communication, Navigation System",51,Vehicle status alerts,29,"Audio, Communication, Navigation System",47,Remote engine start/stop from app,PG,Pairing (connect-compatible),052947PG,False
57545730,"Previously had the 2016 RX350. No problem back hatch height level 5. Clears garage door just fine. The 2020 hits my garage door on level 5. Level 4 is too low, constantly bump my head, have to duck to put items in and take ots out on level 4.",19,Exterior Body,9,Trunk/hatchback/tailgate,19,Exterior Body,9,Trunk/hatchback/tailgate,HL,Height -  too low,051909HL,False
57709128,Remote start takes a long time to connect. Car turns off as soon as you open the door. Other vehicles with remote start remained started & allowed you to get in and push the start button to start driving (not turn off & have to be restarted).,29,"Audio, Communication, Navigation System",51,Vehicle status alerts,29,"Audio, Communication, Navigation System",47,Remote engine start/stop from app,FB,"Features, options",052947FB,False
57643525,After driving home with only one mile on odometer the upper 1/5 steel door molding separated from left door molding separated from door.  Have not taken it in to be checked yet. It appears was not creased properly when put on left door frame.,19,Exterior Body,99,Exterior problem other than listed,19,Exterior Body,28,Molding,LF,"Loose, fell off",051928LF,False
57590974,"The fact that the steering wheel heaters only work in 2 areas is absolutely horrible.  Would much rather give up the shiny plastic-looking wood part of the wheel (which gets VERY cold), for a fully leather covered wheel that is fully heated.",13,Interior Fit and Appearance,7,Steering wheel (fit/appearance),34,Handling & Steering,14,Steering wheel heater,FB,"Features, options",053414FB,True
57584131,"The inside turn indicator flashes once or twice more after the turn or after the turn indicator is flipped to off. If this happens outside (turn lights), that could be very confusing for someone behind the car (is an additional turn coming?)",19,Exterior Body,23,Turn signal lights,19,Exterior Body,23,Turn signal lights,FB,"Features, options",051923FB,True
57590974,"The fact that the steering wheel heaters only work in 2 areas is absolutely horrible.  Would much rather give up the shiny plastic-looking wood part of the wheel (which gets VERY cold), for a fully leather covered wheel that is fully heated.",13,Interior Fit and Appearance,7,Steering wheel (fit/appearance),13,Interior Fit and Appearance,7,Steering wheel (fit/appearance),WC,"Would like to have, change, add feature, make standard",051307WC,True
57584131,"Although I like the new console, it is VERY awkward to reach and release the glove box from the driver's seat. For that reason, I don't put anything in the glove box that I might need when I'm driving or might need quickly. Very aggravating.",13,Interior Fit and Appearance,12,Glove box,13,Interior Fit and Appearance,12,Glove box,LE,Location,051312LE,True
57597013,I would like to have a groove/slot of some type for electronics cord. The USB is outside the console and I place my charging items(headphones & iPods) in the console. My last vehicle had the USB inside the console. Now I’m smashing my cords.,13,Interior Fit and Appearance,99,"Interior fit, Appearance prob other than liste",29,"Audio, Communication, Navigation System",9,USB (input/charging),LE,Location,052909LE,False
57597013,I would like to have a groove/slot of some type for electronics cord. The USB is outside the console and I place my charging items(headphones & iPods) in the console. My last vehicle had the USB inside the console. Now I’m smashing my cords.,13,Interior Fit and Appearance,99,"Interior fit, Appearance prob other than liste",13,Interior Fit and Appearance,99,"Interior fit, Appearance prob other than liste",WC,"Would like to have, change, add feature, make standard",051399WC,False
57715941,Mirror controls are not lit at night when everything else is.  Not easy to find in the dark as a new owner of the truck.  Not easy for other family drivers to find at night who don't drive the truck regularly and need to adjust the mirrors.,14,Interior Operation & Controls,19,Mirror controls,14,Interior Operation & Controls,19,Mirror controls,WC,"Would like to have, change, add feature, make standard",051419WC,True
57598820,"We believe ALL models should have the ""curved"" lines that show where you will end up if you continue the curved path. Only the Limited has the preferred feature.  Lesser models of other brands have the better back-up system.  Disappointing.",14,Interior Operation & Controls,22,"Back up camera, rear view monitor",14,Interior Operation & Controls,22,"Back up camera, rear view monitor",WC,"Would like to have, change, add feature, make standard",051422WC,True
57633583,Brake noise when slow speed to complete stop (not the typical hybrid noise) is louder than regular gas driven car. I guess the brake pad it self has a loud friction each other (pad and disk). I will keep observing when weather comes warmer.,36,Brakes,3,Brake noise,36,Brakes,3,Brake noise,NA,Noise,053603NA,True
57595768,sometimes won't recognize my  iPhone RX. when I called someone or play music from YouTube  and sometimes people tell me audio sounds no good when I am talking on the phone  via Bluetooth like microphone  bad quality or mic is too far behind,29,"Audio, Communication, Navigation System",28,Bluetooth - phone calls,29,"Audio, Communication, Navigation System",28,Bluetooth - phone calls,SL,Sound quality ,052928SL,True
57682055,"I still have 2007 RX 350 and the combination of the steerin* wheel and armrest there is way more comfortable for the driver. With the new RX, the armrest is too low even if the wheel is lowered, so driver’s arms are in the air all the time.",26,Seats,7,Armrest,13,Interior Fit and Appearance,7,Steering wheel (fit/appearance),CI,"Comfort, fit",051307CI,False
57682055,"I still have 2007 RX 350 and the combination of the steerin* wheel and armrest there is way more comfortable for the driver. With the new RX, the armrest is too low even if the wheel is lowered, so driver’s arms are in the air all the time.",26,Seats,7,Armrest,26,Seats,7,Armrest,CI,"Comfort, fit",052607CI,False
57682055,"I still have 2007 RX 350 and the combination of the steerin* wheel and armrest there is way more comfortable for the driver. With the new RX, the armrest is too low even if the wheel is lowered, so driver’s arms are in the air all the time.",26,Seats,7,Armrest,26,Seats,7,Armrest,HL,Height -  too low,052607HL,False
57629925,"Very lightweight and cheap feeling, there is no spring action pulling or holding the door in place. I feel like I have to place it in the right resting place. Whenever another person pumps my gas it rests a quarter inch or so out of place.",19,Exterior Body,46,Fuel cap,19,Exterior Body,46,Fuel cap,QA,"Quality (cheap looking, cheaply made",051946QA,True
57598820,"second-row seats are angled to high towards the front for ease of entry and are not adjustable.  Also, this is our fourth Sienna van and the seats appear/feel shorter, front to back. There feels like there is more space from thigh to knee.",26,Seats,10,Seat comfort,26,Seats,10,Seat comfort,CI,"Comfort, fit",052610CI,True
57696980,"Takes a long time for inside to warm up.  Windows fog up terrible if outside vent is closed.  This is not good for someone with asthma (me), that has triggers that causes an asthma attack, examples are smoke of any origin or exhaust fumes.",22,"Heating, Ventilation & Cooling",16,Front heater not hot enough,22,"Heating, Ventilation & Cooling",90,Other - Heater,AI,Takes a long time to get warm,052290AI,True
57598820,"second-row seats are angled to high towards the front for ease of entry and are not adjustable.  Also, this is our fourth Sienna van and the seats appear/feel shorter, front to back. There feels like there is more space from thigh to knee.",26,Seats,10,Seat comfort,26,Seats,92,Other - Seats (unspecified),LE,Location,052692LE,True
57662321,"Not enough ""grade"" on the hood for collected rainway/melted snow to run off. When the truck is parked and has been rained or snowed on, and I start driving, all of that water seems to wind up on the windshield. Not too big of a deal though",19,Exterior Body,27,Hood,19,Exterior Body,27,Hood,FB,"Features, options",051927FB,True
57632245,"It takes longer to turn over than I would expect for a new car. We have a 2014 4Runner that we bought brand new with 120k miles that fires right up, every time. The Tacoma takes a few extra turns until  It starts. It’s a little concerning.",41,Engine,2,Difficult to start,41,Engine,2,Difficult to start,EB,"Engine-Difficult, hard to start (slow, delayed)",054102EB,True
57696980,"Takes a long time for inside to warm up.  Windows fog up terrible if outside vent is closed.  This is not good for someone with asthma (me), that has triggers that causes an asthma attack, examples are smoke of any origin or exhaust fumes.",22,"Heating, Ventilation & Cooling",16,Front heater not hot enough,22,"Heating, Ventilation & Cooling",94,Other - Defroster (frost),PA,Performance,052294PA,True
57696980,"Takes a long time for inside to warm up.  Windows fog up terrible if outside vent is closed.  This is not good for someone with asthma (me), that has triggers that causes an asthma attack, examples are smoke of any origin or exhaust fumes.",22,"Heating, Ventilation & Cooling",16,Front heater not hot enough,NULL,NULL,NULL,NULL,NULL,NULL,9,True
57706984,"The lane assist with the cruise control on setting, limits my control and makes it more difficult to correct actions. I have to turn it off when I have my cruise control on, which makes me forget to turn it back on when I don't use cruise.",14,Interior Operation & Controls,30,Lane keep assist/Lane departure warning,14,Interior Operation & Controls,30,Lane keep assist/Lane departure warning,PA,Performance,051430PA,False
57680119,There is no easy way to turn ON and OFF the AC. It is absolutely unsafe to use the touchpad to turn off the AC while driving. This is inexcusable design flaw and should have been flagged by safety experts before allowed for general sales.,22,"Heating, Ventilation & Cooling",99,"Heating, vent, cool prob other than listed",22,"Heating, Ventilation & Cooling",93,Other - Heating/AC controls unspecified,HB,Hard to operate (requires too much effort),052293HB,True
57701092,Could not make calls with iPhone 11 Pro Max and Apple play..  Issue seems to have been resolved just this week when Toyota pushed a SW update to Enform system because I can now make calls while using Apple play!!   I’m now a happy camper!,29,"Audio, Communication, Navigation System",58,Apple CarPlay™/Android Auto™,29,"Audio, Communication, Navigation System",58,Apple CarPlay™/Android Auto™,NF,"Not working properly, malfunction",052958NF,True
57680119,There is no easy way to turn ON and OFF the AC. It is absolutely unsafe to use the touchpad to turn off the AC while driving. This is inexcusable design flaw and should have been flagged by safety experts before allowed for general sales.,22,"Heating, Ventilation & Cooling",99,"Heating, vent, cool prob other than listed",22,"Heating, Ventilation & Cooling",96,Other - Touchscreen,FB,"Features, options",052296FB,True
57323889,For 4 days the vehicle said the park assist was unavailable. There was no damage to the sensor I washed the entire car and it continued to say there was an issue then in the day I planned to take it to the dealership it stopped acting up.,14,Interior Operation & Controls,27,Park assist,14,Interior Operation & Controls,27,Park assist,NF,"Not working properly, malfunction",051427NF,True
57680491,This should have an option to give the driver (set manually) to be asked by voice from an AI computer what mode you would want to be in & if this is the setting you want as default & if you want to change by your vocal command on the fly.,14,Interior Operation & Controls,44,Drive mode selector,14,Interior Operation & Controls,44,Drive mode selector,WC,"Would like to have, change, add feature, make standard",051444WC,True
57660566,See above. The driver seat is so uncomfortable I wanted to return the car. The wires from heated seat seem to poke or push at the back and butt. I had 2005 Prius and never felt uncomfortable but this car is not fun to drive because of it.,26,Seats,10,Seat comfort,26,Seats,10,Seat comfort,CI,"Comfort, fit",052610CI,False
57659752,"The led dash console lights (back- up, nav and etc.) do not have an adjustment to make them brighter.  In the day time they are dim and can not read or see the images clearly.  This is a hazard.  There is a fix online using a bimmer code.",13,Interior Fit and Appearance,2,Dashboard,14,Interior Operation & Controls,99,Interior Operations problem other than listed,LT,"Too Bright, Too Dim",051499LT,False
57597362,"It's beyond annoying that I have to be in park. Have you ever even been a school drop off line?? Sure, maybe I need to be going under 2mph or not do it from the back seat, but it is SO ANNOYING and I completely regret getting power doors.",19,Exterior Body,8,Power sliding door,19,Exterior Body,8,Power sliding door,FB,"Features, options",051908FB,False
57659752,"The led dash console lights (back- up, nav and etc.) do not have an adjustment to make them brighter.  In the day time they are dim and can not read or see the images clearly.  This is a hazard.  There is a fix online using a bimmer code.",13,Interior Fit and Appearance,2,Dashboard,14,Interior Operation & Controls,99,Interior Operations problem other than listed,HP,Hard to Read,051499HP,False
57615000,"complicted, still cant figure out fool proof way of opeing and starting my vehicel if FOB batter dies. too bulky. which is for valet? what do I carry with me when I ma hunting or going into a restaurant and don't want the bulk of the FOB",14,Interior Operation & Controls,28,Remote keyless entry,14,Interior Operation & Controls,28,Remote keyless entry,DU,Difficult to understand,051428DU,True
57584692,"The USB port inside the center console does not connect to the head unit, but only charges. This is not a build issue/defect, but I do think it seems cheap that only the USB ports in front of the shifter are useable for media connection.",29,"Audio, Communication, Navigation System",9,USB (input/charging),29,"Audio, Communication, Navigation System",9,USB (input/charging),WC,"Would like to have, change, add feature, make standard",052909WC,True
57702558,"One time not many days after purchasing the car, in a parking lot, my key device wouldn't lock the door. The only thing I could do was leave the door unlocked while in the restaurant. Once home, it worked. Have not had the problem since.",14,Interior Operation & Controls,28,Remote keyless entry,14,Interior Operation & Controls,28,Remote keyless entry,NF,"Not working properly, malfunction",051428NF,True
57640744,The fader from front to back and right to left doesn't seem to function when using CarPlay or the Alexa app. Shouldn't there be an obvious shift in the sound when the fader is adjusted? Does it only work with certain apps? Help please...,29,"Audio, Communication, Navigation System",3,Audio controls,29,"Audio, Communication, Navigation System",3,Audio controls,WC,"Would like to have, change, add feature, make standard",052903WC,False
57700282,You falsely advertised this car.  The range said 680mi to empty when I purchased the car.  After its first service it now says 530mi DTE.  I question everything on the Corolla’s spec sheet as fraudulent.   Toyota is a dishonest Company.,45,Gauges & Lights,22,Driving range indicator,41,Engine,15,Poor fuel consumption,CJ,Consumption,054115CJ,True
57700282,You falsely advertised this car.  The range said 680mi to empty when I purchased the car.  After its first service it now says 530mi DTE.  I question everything on the Corolla’s spec sheet as fraudulent.   Toyota is a dishonest Company.,45,Gauges & Lights,22,Driving range indicator,NULL,NULL,NULL,NULL,NULL,NULL,9,True
57655007,auto hi beams seem to go nuts when it is super cold out and before dawn. at times they will not dim until oncoming car is nearly upon me and or one I am following it will not recognize so I'm shining hi beams into their rear view mirror,45,Gauges & Lights,99,"Gauges, Lights problem other than listed",19,Exterior Body,20,Headlights (including Auto High Beam),PA,Performance,051920PA,True
57395733,"The back door, once opened, it is too high for me to grasp it to close it unless I am wearing high heel shoes. There is no where at the rear door for a hook or something that I can attach a string for me to reach to close the rear door.",14,Interior Operation & Controls,25,"Garage door opener, Home link",19,Exterior Body,9,Trunk/hatchback/tailgate,HH,Height - too high,051909HH,False
57705307,More info given then needed. Not precise in its commands. Confusing. It will say continue on route 80. It would be better if it said continue on route 80 for 17 miles etc...that is valuable information to the driver but it is not given.,29,"Audio, Communication, Navigation System",19,Nav display,29,"Audio, Communication, Navigation System",19,Nav display,DU,Difficult to understand,052919DU,False
57645866,Our 2010 had a cargo net that extended across the trunk and was very useful for groceries. The cargo net that came with out 2019 has very limited capacity and is actually useless. I left it with the dealer since it has no value for us.,13,Interior Fit and Appearance,16,Other storage compartments,13,Interior Fit and Appearance,99,"Interior fit, Appearance prob other than liste",WC,"Would like to have, change, add feature, make standard",051399WC,True
57715941,Two issues:  1. Excessive drive train lash at very slow speed when accelerating and decelerating in heavy traffic.  2. Very minor vibration when starting from dead stop...similar to torque converter issues in other vehicles I've owned.,43,Transmssion,99,Transmission problem other than listed,43,Transmssion,99,Transmission problem other than listed,VA,Vibration,054399VA,True
57697387,Entune system does not work. Won't connect with app on my iPhone though both are paired. Service center said it's a problem with Entune and hopefully a firmware update at some point will fix it. Not a good answer for a brand new truck.,29,"Audio, Communication, Navigation System",99,Audio/Comm/Nav problem other than listed,29,"Audio, Communication, Navigation System",99,Audio/Comm/Nav problem other than listed,IC,Inoperative,052999IC,True
57648766,"Out of date navigation advice and also sends you the long way around. Doesn't compare well to Google maps. Love the voice though so wish I could use it more. It sounds like a female version of Hal (""I'm sorry David, I can't do that!"").",29,"Audio, Communication, Navigation System",20,Navigation performance,29,"Audio, Communication, Navigation System",20,Navigation performance,PA,Performance,052920PA,True
57715941,Two issues:  1. Excessive drive train lash at very slow speed when accelerating and decelerating in heavy traffic.  2. Very minor vibration when starting from dead stop...similar to torque converter issues in other vehicles I've owned.,43,Transmssion,99,Transmission problem other than listed,43,Transmssion,99,Transmission problem other than listed,PA,Performance,054399PA,True
57714296,Way too quiet when activated. I cannot tell that I've successfully locked the doors without repeated attempts. Also the distance of operation if the remote is very poor. My 2007 FJ could arm a block away through a wall. Lol. Thank you.,14,Interior Operation & Controls,28,Remote keyless entry,14,Interior Operation & Controls,28,Remote keyless entry,PA,Performance,051428PA,False
57655083,The brakes have been squeaking loudly since I purchased it.  I am highly disappointed because I took it in for service twice to fix the issue and they did nothing.  The squeaking in very loud but intermittent and it shouldn’t do that.,36,Brakes,3,Brake noise,36,Brakes,3,Brake noise,NC,"Noise-squeaks, rattles",053603NC,True
57624643,"The ""sound generator"" is annoying. I can understand why something like this makes it into a car's design, but the extra ""vroom"" only serves to remind me that I'm a tool who drives a loud car who everyone else is really unimpressed by.",41,Engine,6,"Engine noise(excessive, abnormal)",41,Engine,6,"Engine noise(excessive, abnormal)",NA,Noise,054106NA,True
57667839,Not having any organizer in the center console and just a big empty storage bin isn't the best.  I couldn't find any tray/organizer through Toyota on any site.  I ended up buying an off-brand tray off ebay that works perfectly though.,13,Interior Fit and Appearance,11,Center console,13,Interior Fit and Appearance,11,Center console,WC,"Would like to have, change, add feature, make standard",051311WC,True
57591887,"The steering wheel has a nice grip and feel to it but it tends to block the left lighting selections (off, auto, etc), that extends from the steering column.  I have to continually ensure that the light switch is in the auto position.",13,Interior Fit and Appearance,7,Steering wheel (fit/appearance),14,Interior Operation & Controls,18,Headlight controls,LE,Location,051418LE,True
57591908,"The car beeps and I can’t always figure out why.  When doing front end parking, always hangs over back of parking space because the sensors keep you wanting to pull up more.  I can’t always tell if all the safety features are engaged.",14,Interior Operation & Controls,99,Interior Operations problem other than listed,14,Interior Operation & Controls,99,Interior Operations problem other than listed,DU,Difficult to understand,051499DU,False
57676642,"The speedometer always reads 1 mph less than the cruise control is set and the actual speed based upon 2 different Garmin units that have been used in 3 other vehicles, always reports a speed of 1 mph less than the speedometer reads.",45,Gauges & Lights,12,Speedometer,45,Gauges & Lights,12,Speedometer,IB,Inaccurate,054512IB,False
57667806,"Mine is a manual control which i NEVER would again have in a vehicle of this type.As a result you cannot lower the front portion of the seat as I could do in all of my Camrys (they had seat controls, not manual).  Very disappointed.",26,Seats,12,"Forward, backward controls",26,Seats,13,Height controls,WC,"Would like to have, change, add feature, make standard",052613WC,True
57648345,Programming the home link to our garage doors was very difficult even following the instructions in both the owners manual and online resources.  It successfully stored only one of our door codes after many attempts over three days.,14,Interior Operation & Controls,25,"Garage door opener, Home link",14,Interior Operation & Controls,25,"Garage door opener, Home link",DU,Difficult to understand,051425DU,True
57648345,Programming the home link to our garage doors was very difficult even following the instructions in both the owners manual and online resources.  It successfully stored only one of our door codes after many attempts over three days.,14,Interior Operation & Controls,25,"Garage door opener, Home link",0,Vehicle General,98,Owner's Manual,DU,Difficult to understand,050098DU,True
57662321,"The driver's side speaker's audio is muffled due to my left leg being close to the speaker. I'm not a large man (5'11"") and I believe my legs are in a standard position. The muffled sound makes it seem like my left ear has problems",29,"Audio, Communication, Navigation System",5,Audio sound quality,29,"Audio, Communication, Navigation System",8,"Speakers, subwoofer",SL,Sound quality ,052908SL,True
57557134,"While driving at about 30 miles/hours suddenly warning sign on display ""BRAKE"" blinked with beeping sound for 5 second.  Camry has only about 300 miles only. I was driving slowly, did not brake, no one in front, Cruise Control OFF,",14,Interior Operation & Controls,99,Interior Operations problem other than listed,45,Gauges & Lights,16,Brake warning light,NF,"Not working properly, malfunction",054516NF,False
57557134,"While driving at about 30 miles/hours suddenly warning sign on display ""BRAKE"" blinked with beeping sound for 5 second.  Camry has only about 300 miles only. I was driving slowly, did not brake, no one in front, Cruise Control OFF,",45,Gauges & Lights,16,Brake warning light,45,Gauges & Lights,16,Brake warning light,NF,"Not working properly, malfunction",054516NF,False
57698448,"Remote connect start/stop, door lock and unlock, and vehicle status updates all have stopped working after one week of ownership. Currently at week 5 of ownership and none of these features are working and Toyota Care hasn't helped",29,"Audio, Communication, Navigation System",51,Vehicle status alerts,14,Interior Operation & Controls,99,Interior Operations problem other than listed,IC,Inoperative,051499IC,False
57698448,"Remote connect start/stop, door lock and unlock, and vehicle status updates all have stopped working after one week of ownership. Currently at week 5 of ownership and none of these features are working and Toyota Care hasn't helped",29,"Audio, Communication, Navigation System",50,Door lock/unlock,29,"Audio, Communication, Navigation System",47,Remote engine start/stop from app,IC,Inoperative,052947IC,False
57698448,"Remote connect start/stop, door lock and unlock, and vehicle status updates all have stopped working after one week of ownership. Currently at week 5 of ownership and none of these features are working and Toyota Care hasn't helped",29,"Audio, Communication, Navigation System",47,Remote engine start/stop from app,29,"Audio, Communication, Navigation System",47,Remote engine start/stop from app,IC,Inoperative,052947IC,False
57698448,"Remote connect start/stop, door lock and unlock, and vehicle status updates all have stopped working after one week of ownership. Currently at week 5 of ownership and none of these features are working and Toyota Care hasn't helped",29,"Audio, Communication, Navigation System",51,Vehicle status alerts,41,Engine,19,Remote engine start (RES),IC,Inoperative,054119IC,False
57698448,"Remote connect start/stop, door lock and unlock, and vehicle status updates all have stopped working after one week of ownership. Currently at week 5 of ownership and none of these features are working and Toyota Care hasn't helped",29,"Audio, Communication, Navigation System",47,Remote engine start/stop from app,29,"Audio, Communication, Navigation System",50,Door lock/unlock,IC,Inoperative,052950IC,False
